UTARIH;FONKODU;FONADI;YONTIPI;YONTURU;TOPLAMDEGER;PIYASAFIYAT;DOLASIMDAKIPAYSAYISI;YATIRIMCISAYISI;HS;TR;BP;OZ;KB;KD;YM;HZ;DG
16.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15120335.34;0.012671;1193341154.763;11385;0;0.58;0;0;84.99;0;0;0;11.72
16.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23877766.36;0.082593;289100775.469;19345;83.4;7.96;8.64;0;0;0;0;0;0
16.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31160503.06;0.050856;612717065.964;28783;34.56;1.61;7.5;0;36.68;0;0;0;19.65
16.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23465388.91;0.039015;601440795.537;28080;0;57.03;0;0;23.93;0;0;0;19.04
16.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27466432.9;0.012304;2232360224.235;10672;30.97;7.99;0;6.66;43.2;0;2.12;0;9.06
17.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15128165.52;0.012681;1193017587.078;11377;0;0.56;0;0;85.02;0;0;0;11.72
17.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23980120.55;0.08293;289160824.944;19342;83.44;7.92;8.64;0;0;0;0;0;0
17.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31226339.27;0.050973;612610847.819;28779;34.62;1.61;7.49;0;36.66;0;0;0;19.62
17.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23426896.57;0.039025;600300049.939;27976;0;57.55;0;0;23.98;0;0;0;18.47
17.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27796790.11;0.012329;2254508200.585;10683;31.35;5.95;0;6.7;44.76;0;2.13;0;9.11
